"","V161086","V161087","V161092","V161093","V161095","V161096","V161158x","V161267","V161270","V161310b","V161310c","V161310d","V161310e","V161310f","V161342","V161361x","V162031x","V162034a","V162078","V162079","V162171","V162239","V162240","V162241","V162242","V162333","V162334","V162335","V162336","V162337","V162338","V162339","V162340","V162341","V162342"
"3585",-99,60,-99,-99,-99,-99,2,66,10,0,0,0,0,0,1,24,1,1,60,30,5,2,2,2,1,4,1,7,2,5,1,6,1,6,4
"3586",85,0,100,100,100,30,1,80,12,0,0,0,0,0,2,20,1,1,85,15,2,2,2,1,2,5,3,7,6,5,3,7,1,4,4
"3587",86,1,100,100,90,10,3,56,10,0,0,0,0,0,2,11,1,1,86,1,2,2,1,2,1,5,1,6,5,6,5,6,2,6,1
"3588",0,85,15,30,30,70,6,58,12,0,0,0,0,0,2,15,1,2,0,85,5,2,2,2,1,5,5,5,6,6,2,6,6,2,3
"3589",70,100,100,100,85,85,6,62,8,0,0,0,1,0,2,2,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3590",1,85,1,2,1,60,7,61,10,0,0,0,0,0,1,24,1,2,1,70,6,2,1,2,1,6,1,7,1,6,5,7,1,7,4
"3591",40,49,69,59,60,42,2,29,11,0,0,0,0,0,1,11,-1,-1,41,60,4,2,1,2,1,4,2,6,3,6,7,5,1,6,1
"3592",100,0,100,100,100,0,1,74,14,0,0,0,0,0,2,26,1,1,100,0,2,1,1,2,1,6,3,7,2,7,5,7,1,5,2
"3593",60,40,85,60,50,50,4,73,10,0,0,0,0,0,2,12,1,9,60,60,4,2,1,2,1,4,4,5,5,5,5,5,4,5,4
"3594",60,0,70,50,70,60,4,44,12,1,0,0,0,0,1,11,0,-1,60,30,99,1,2,1,2,6,4,7,5,4,6,6,4,5,5
"3595",85,40,41,85,71,51,2,68,9,0,0,0,0,0,2,9,0,-1,85,15,99,2,2,2,1,3,4,5,5,3,3,4,4,4,3
"3596",69,60,2,59,28,14,4,39,9,0,0,0,0,0,2,1,1,2,4,100,1,2,1,2,1,7,6,7,7,7,5,7,1,7,1
"3597",0,0,15,0,50,50,2,34,8,0,0,0,0,1,1,24,1,2,0,0,4,1,2,2,1,3,3,5,3,7,5,5,3,4,2
"3598",50,50,50,70,50,50,4,47,13,0,0,0,0,1,2,21,1,2,50,50,99,1,2,1,2,4,4,4,4,4,4,4,4,4,4
"3599",-99,0,50,40,60,2,3,67,9,0,0,0,0,0,2,17,-1,-1,40,15,99,1,1,2,1,2,2,5,3,6,6,5,3,4,4
"3600",89,16,96,44,60,47,2,49,16,0,0,0,0,0,2,28,1,-1,85,20,2,1,1,2,1,4,2,5,1,7,7,6,1,6,2
"3601",2,72,1,16,0,16,7,76,12,0,0,0,0,0,2,7,1,-1,2,100,7,2,2,1,1,7,1,7,1,6,4,7,1,7,4
"3602",85,30,85,100,60,30,2,53,8,0,0,0,0,0,1,20,1,1,75,0,4,2,2,1,1,6,6,6,5,6,5,7,4,4,4
"3603",70,0,85,70,70,15,1,76,9,0,0,0,0,0,1,20,1,1,70,0,2,2,2,2,1,5,2,7,1,4,6,6,1,7,4
"3604",85,0,85,85,70,15,3,68,14,-9,-9,-9,-9,-9,1,-9,1,1,70,0,2,2,1,2,1,7,3,7,3,6,6,6,3,6,3
"3605",0,85,1,52,63,85,6,35,13,0,0,0,0,0,1,20,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
